Time,Open,High,Low,Close,Qty,Number,VWAP
2023-05-14 00:00:00,0.2116,0.2116,0.2113,0.2113,3421.0,7,0.21156433791289098
2023-05-14 00:01:00,0.2112,0.2112,0.2112,0.2112,129.0,2,0.2112
2023-05-14 00:02:00,0.2112,0.2112,0.2112,0.2112,1755.0,6,0.2112
2023-05-14 00:03:00,0.2113,0.2113,0.2112,0.2112,4265.0,10,0.21120616647127785
2023-05-14 00:04:00,,,,,0.0,0,
2023-05-14 00:05:00,0.2111,0.2111,0.2109,0.2109,21702.0,27,0.21098055939544744
2023-05-14 00:06:00,0.211,0.211,0.2106,0.2108,8554.0,23,0.21072153378536357
2023-05-14 00:07:00,0.2109,0.211,0.2109,0.211,361.0,2,0.21093351800554014
2023-05-14 00:08:00,0.211,0.211,0.211,0.211,121.0,1,0.211
2023-05-14 00:09:00,0.211,0.211,0.2109,0.2109,794.0,4,0.21096952141057937
2023-05-14 00:10:00,0.2108,0.2108,0.2107,0.2107,194.0,2,0.21076237113402063
2023-05-14 00:11:00,0.2107,0.2112,0.2107,0.2111,10537.0,37,0.21096424029609945
2023-05-14 00:12:00,0.2111,0.2114,0.2111,0.2113,2896.0,15,0.2112221685082873
2023-05-14 00:13:00,0.2112,0.2112,0.2108,0.2111,32941.0,38,0.21091107434504114
2023-05-14 00:14:00,,,,,0.0,0,
2023-05-14 00:15:00,0.211,0.211,0.2109,0.2109,7991.0,11,0.2109157552246277
2023-05-14 00:16:00,,,,,0.0,0,
2023-05-14 00:17:00,0.2108,0.2108,0.2107,0.2107,4792.0,7,0.2107974958263773
2023-05-14 00:18:00,0.2107,0.2107,0.2107,0.2107,1123.0,1,0.2107
2023-05-14 00:19:00,0.2107,0.2107,0.2106,0.2106,309.0,3,0.21064822006472492
2023-05-14 00:20:00,0.2106,0.2106,0.2106,0.2106,1411.0,2,0.2106
2023-05-14 00:21:00,0.2106,0.2106,0.2104,0.2104,799.0,7,0.2105078848560701
2023-05-14 00:22:00,,,,,0.0,0,
2023-05-14 00:23:00,0.2104,0.2104,0.2104,0.2104,122.0,1,0.2104
2023-05-14 00:24:00,0.2105,0.2106,0.2105,0.2105,2647.0,3,0.21053581412920286
2023-05-14 00:25:00,,,,,0.0,0,
2023-05-14 00:26:00,0.2107,0.2108,0.2107,0.2108,5962.0,8,0.21071043274069104
2023-05-14 00:27:00,0.2109,0.2109,0.2109,0.2109,53.0,1,0.2109
2023-05-14 00:28:00,0.2109,0.211,0.2109,0.211,4714.0,13,0.21093691132795925
2023-05-14 00:29:00,0.2109,0.2109,0.2109,0.2109,860.0,1,0.2109
2023-05-14 00:30:00,,,,,0.0,0,
2023-05-14 00:31:00,,,,,0.0,0,
2023-05-14 00:32:00,0.2109,0.211,0.2109,0.211,2668.0,8,0.21094940029985007
2023-05-14 00:33:00,0.2111,0.2111,0.2111,0.2111,1824.0,3,0.2111
2023-05-14 00:34:00,0.2111,0.2112,0.211,0.211,7591.0,22,0.21107232248715585
2023-05-14 00:35:00,0.2108,0.2108,0.2107,0.2107,6462.0,10,0.2107871402042711
2023-05-14 00:36:00,0.2106,0.2106,0.2106,0.2106,121.0,1,0.2106
